MenuItemIngredientID,ItemID,IngredientID,QuantityNeeded
310,52,3,0.150
311,52,30,1.000
312,52,33,0.020
313,52,11,0.020
314,52,12,0.015
315,52,45,0.003
316,53,10,0.200
317,53,29,1.000
318,53,33,0.025
319,53,11,0.020
320,53,20,0.015
321,53,45,0.003
322,54,7,0.150
323,54,30,1.000
324,54,11,0.020
325,54,45,0.003
326,55,4,0.350
327,55,45,0.006
328,55,46,0.004
329,55,47,0.004
330,55,36,0.025
331,56,26,0.200
332,56,28,0.020
333,56,37,0.015
334,56,45,0.004
335,57,62,0.150
336,57,63,0.050
337,57,39,0.120
338,57,44,0.040
339,57,36,0.020
340,58,22,0.250
341,58,44,0.025
342,59,7,0.300
343,59,12,0.030
344,59,19,0.050
345,59,36,0.025
346,59,45,0.005
347,60,4,0.800
348,60,26,0.400
349,60,12,0.080
350,60,11,0.100
351,60,20,0.050
352,60,16,0.050
353,60,45,0.010
354,60,36,0.060
