IngredientPriceID,IngredientID,PricePerUnit_EGP,EffectiveDate
347,15,18.77,2024-11-01
348,15,19.19,2024-12-01
349,15,19.45,2025-01-01
350,15,19.76,2025-02-01
351,15,20.11,2025-03-01
352,15,20.57,2025-04-01
353,15,21.02,2025-05-01
354,15,21.52,2025-06-01
355,15,22.72,2025-07-01
356,15,24.79,2025-08-01
357,15,25.09,2025-09-01
358,15,25.47,2025-10-01
359,15,25.93,2025-11-01
360,15,26.31,2025-12-01
361,16,12.0,2024-01-01
362,16,12.25,2024-02-01
363,16,13.67,2024-03-01
364,16,14.95,2024-04-01
365,16,15.19,2024-05-01
366,16,15.53,2024-06-01
367,16,17.83,2024-07-01
368,16,19.7,2024-08-01
369,16,20.05,2024-09-01
370,16,20.47,2024-10-01
371,16,20.88,2024-11-01
372,16,21.24,2024-12-01
373,16,21.56,2025-01-01
374,16,21.99,2025-02-01
375,16,22.49,2025-03-01
376,16,22.84,2025-04-01
377,16,23.31,2025-05-01
378,16,22.65,2025-06-01
379,16,29.86,2025-07-01
380,16,29.73,2025-08-01
381,16,30.31,2025-09-01
382,16,30.81,2025-10-01
383,16,30.5,2025-11-01
384,16,30.94,2025-12-01
385,17,10.0,2024-01-01
386,17,10.12,2024-02-01
387,17,11.42,2024-03-01
388,17,12.29,2024-04-01
389,17,12.46,2024-05-01
390,17,12.61,2024-06-01
391,17,11.58,2024-07-01
392,17,13.61,2024-08-01
393,17,13.78,2024-09-01
394,17,13.99,2024-10-01
395,17,14.26,2024-11-01
396,17,14.46,2024-12-01
397,17,14.65,2025-01-01
398,17,14.9,2025-02-01
399,17,15.18,2025-03-01
400,17,15.56,2025-04-01
401,17,15.94,2025-05-01
402,17,16.17,2025-06-01
403,17,15.51,2025-07-01
404,17,18.54,2025-08-01
405,17,18.8,2025-09-01
406,17,19.16,2025-10-01
407,17,19.53,2025-11-01
408,17,19.92,2025-12-01
409,18,14.0,2024-01-01
410,18,14.28,2024-02-01
411,18,16.54,2024-03-01
412,18,17.83,2024-04-01
413,18,17.43,2024-05-01
414,18,17.8,2024-06-01
415,18,24.01,2024-07-01
416,18,29.22,2024-08-01
417,18,29.62,2024-09-01
418,18,30.13,2024-10-01
419,18,30.77,2024-11-01
420,18,31.13,2024-12-01
421,18,31.51,2025-01-01
422,18,32.23,2025-02-01
423,18,33.03,2025-03-01
424,18,33.76,2025-04-01
425,18,33.2,2025-05-01
426,18,33.76,2025-06-01
427,18,42.29,2025-07-01
428,18,39.42,2025-08-01
429,18,40.34,2025-09-01
430,18,41.3,2025-10-01
431,18,41.75,2025-11-01
432,18,42.74,2025-12-01
433,19,8.0,2024-01-01
434,19,8.13,2024-02-01
435,19,9.38,2024-03-01
436,19,9.91,2024-04-01
437,19,10.08,2024-05-01
438,19,10.29,2024-06-01
439,19,10.14,2024-07-01
440,19,10.69,2024-08-01
441,19,10.47,2024-09-01
442,19,10.64,2024-10-01
443,19,10.5,2024-11-01
444,19,10.69,2024-12-01
445,19,10.85,2025-01-01
446,19,10.99,2025-02-01
447,19,11.24,2025-03-01
448,19,11.46,2025-04-01
449,19,11.34,2025-05-01
450,19,11.49,2025-06-01
451,19,11.35,2025-07-01
452,19,11.87,2025-08-01
453,19,12.01,2025-09-01
454,19,12.13,2025-10-01
455,19,12.28,2025-11-01
456,19,12.45,2025-12-01
457,20,15.0,2024-01-01
458,20,14.56,2024-02-01
459,20,16.62,2024-03-01
460,20,17.44,2024-04-01
461,20,17.81,2024-05-01
462,20,18.2,2024-06-01
463,20,24.33,2024-07-01
464,20,29.7,2024-08-01
465,20,30.23,2024-09-01
466,20,29.69,2024-10-01
467,20,30.17,2024-11-01
468,20,30.69,2024-12-01
469,20,30.24,2025-01-01
470,20,30.57,2025-02-01
471,20,31.17,2025-03-01
472,20,31.63,2025-04-01
473,20,32.2,2025-05-01
474,20,31.8,2025-06-01
475,20,39.27,2025-07-01
476,20,42.56,2025-08-01
477,20,43.13,2025-09-01
478,20,43.85,2025-10-01
479,20,44.35,2025-11-01
480,20,45.24,2025-12-01
481,21,30.0,2024-01-01
482,21,30.37,2024-02-01
483,21,33.97,2024-03-01
484,21,36.82,2024-04-01
485,21,37.5,2024-05-01
486,21,38.19,2024-06-01
487,21,38.64,2024-07-01
488,21,39.41,2024-08-01
489,21,40.32,2024-09-01
490,21,41.31,2024-10-01
491,21,41.94,2024-11-01
492,21,42.49,2024-12-01
493,21,42.11,2025-01-01
494,21,42.76,2025-02-01
495,21,43.56,2025-03-01
496,21,44.55,2025-04-01
497,21,45.54,2025-05-01
498,21,45.23,2025-06-01
499,21,46.25,2025-07-01
500,21,46.84,2025-08-01
501,21,47.53,2025-09-01
502,21,48.01,2025-10-01
503,21,48.9,2025-11-01
504,21,49.49,2025-12-01
505,22,40.0,2024-01-01
506,22,40.42,2024-02-01
507,22,46.1,2024-03-01
508,22,50.09,2024-04-01
509,22,48.65,2024-05-01
510,22,49.25,2024-06-01
511,22,50.24,2024-07-01
512,22,51.24,2024-08-01
513,22,52.09,2024-09-01
514,22,51.09,2024-10-01
515,22,51.82,2024-11-01
516,22,52.72,2024-12-01
517,22,53.28,2025-01-01
518,22,52.08,2025-02-01
519,22,52.77,2025-03-01
520,22,53.5,2025-04-01
521,22,54.04,2025-05-01
522,22,54.72,2025-06-01
523,22,55.84,2025-07-01
524,22,57.1,2025-08-01
525,22,57.73,2025-09-01
526,22,57.33,2025-10-01
527,22,58.64,2025-11-01
528,22,59.73,2025-12-01
529,23,35.0,2024-01-01
530,23,33.97,2024-02-01
531,23,39.55,2024-03-01
532,23,42.16,2024-04-01
533,23,43.12,2024-05-01
534,23,43.93,2024-06-01
535,23,44.63,2024-07-01
536,23,45.3,2024-08-01
537,23,45.87,2024-09-01
538,23,46.41,2024-10-01
539,23,47.5,2024-11-01
540,23,48.49,2024-12-01
541,23,49.57,2025-01-01
542,23,50.17,2025-02-01
543,23,51.13,2025-03-01
544,23,52.14,2025-04-01
545,23,53.27,2025-05-01
546,23,54.41,2025-06-01
547,23,55.32,2025-07-01
548,23,56.34,2025-08-01
549,23,57.43,2025-09-01
550,23,58.54,2025-10-01
551,23,59.19,2025-11-01
552,23,60.05,2025-12-01
553,24,28.0,2024-01-01
554,24,28.3,2024-02-01
555,24,31.67,2024-03-01
556,24,33.75,2024-04-01
557,24,34.4,2024-05-01
558,24,34.98,2024-06-01
559,24,35.75,2024-07-01
560,24,36.35,2024-08-01
561,24,37.07,2024-09-01
562,24,37.71,2024-10-01
563,24,37.43,2024-11-01
564,24,38.0,2024-12-01
565,24,38.67,2025-01-01
566,24,39.2,2025-02-01
567,24,39.85,2025-03-01
568,24,40.34,2025-04-01
569,24,40.91,2025-05-01
570,24,41.53,2025-06-01
571,24,42.44,2025-07-01
572,24,41.89,2025-08-01
573,24,42.49,2025-09-01
574,24,43.33,2025-10-01
575,24,44.33,2025-11-01
576,24,45.16,2025-12-01
577,25,28.0,2024-01-01
578,25,28.43,2024-02-01
579,25,33.21,2024-03-01
580,25,35.84,2024-04-01
581,25,36.62,2024-05-01
582,25,37.35,2024-06-01
583,25,38.14,2024-07-01
584,25,38.82,2024-08-01
585,25,39.45,2024-09-01
586,25,40.06,2024-10-01
587,25,40.59,2024-11-01
588,25,41.29,2024-12-01
589,25,40.92,2025-01-01
590,25,41.39,2025-02-01
591,25,42.32,2025-03-01
592,25,42.77,2025-04-01
593,25,43.69,2025-05-01
594,25,44.37,2025-06-01
595,25,45.37,2025-07-01
596,25,46.37,2025-08-01
597,25,47.14,2025-09-01
598,25,48.09,2025-10-01
599,25,48.89,2025-11-01
600,25,49.93,2025-12-01
601,26,30.0,2024-01-01
602,26,30.54,2024-02-01
603,26,36.31,2024-03-01
604,26,39.76,2024-04-01
605,26,40.43,2024-05-01
606,26,41.07,2024-06-01
607,26,42.08,2024-07-01
608,26,43.01,2024-08-01
609,26,43.6,2024-09-01
610,26,44.61,2024-10-01
611,26,45.12,2024-11-01
612,26,46.15,2024-12-01
613,26,47.14,2025-01-01
614,26,48.25,2025-02-01
615,26,49.05,2025-03-01
616,26,49.7,2025-04-01
617,26,48.28,2025-05-01
618,26,49.13,2025-06-01
619,26,50.35,2025-07-01
620,26,50.87,2025-08-01
621,26,52.02,2025-09-01
622,26,53.16,2025-10-01
623,26,53.92,2025-11-01
624,26,55.02,2025-12-01
625,27,2.0,2024-01-01
626,27,2.04,2024-02-01
627,27,2.33,2024-03-01
628,27,2.51,2024-04-01
629,27,2.54,2024-05-01
630,27,2.49,2024-06-01
631,27,2.54,2024-07-01
632,27,2.57,2024-08-01
633,27,2.53,2024-09-01
634,27,2.56,2024-10-01
635,27,2.6,2024-11-01
636,27,2.64,2024-12-01
637,27,2.63,2025-01-01
638,27,2.66,2025-02-01
639,27,2.71,2025-03-01
640,27,2.76,2025-04-01
641,27,2.81,2025-05-01
642,27,2.88,2025-06-01
643,27,2.91,2025-07-01
644,27,2.95,2025-08-01
645,27,3.01,2025-09-01
646,27,3.07,2025-10-01
647,27,3.1,2025-11-01
648,27,3.17,2025-12-01
649,28,3.0,2024-01-01
650,28,3.07,2024-02-01
651,28,3.64,2024-03-01
652,28,3.89,2024-04-01
653,28,3.79,2024-05-01
654,28,3.83,2024-06-01
655,28,3.9,2024-07-01
656,28,3.97,2024-08-01
657,28,4.05,2024-09-01
658,28,4.11,2024-10-01
659,28,4.2,2024-11-01
660,28,4.25,2024-12-01
661,28,4.35,2025-01-01
662,28,4.45,2025-02-01
663,28,4.56,2025-03-01
664,28,4.64,2025-04-01
665,28,4.72,2025-05-01
666,28,4.65,2025-06-01
667,28,4.75,2025-07-01
668,28,4.69,2025-08-01
669,28,4.76,2025-09-01
670,28,4.84,2025-10-01
671,28,4.8,2025-11-01
672,28,4.87,2025-12-01
673,29,5.0,2024-01-01
674,29,5.07,2024-02-01
675,29,5.65,2024-03-01
676,29,6.22,2024-04-01
677,29,6.3,2024-05-01
678,29,6.12,2024-06-01
679,29,6.25,2024-07-01
680,29,6.35,2024-08-01
681,29,6.47,2024-09-01
682,29,6.63,2024-10-01
683,29,6.77,2024-11-01
684,29,6.89,2024-12-01
685,29,7.03,2025-01-01
686,29,7.11,2025-02-01
687,29,7.23,2025-03-01
688,29,7.36,2025-04-01
689,29,7.46,2025-05-01
690,29,7.65,2025-06-01
691,29,7.83,2025-07-01
692,29,7.92,2025-08-01
693,29,8.05,2025-09-01
694,29,7.95,2025-10-01
695,29,8.13,2025-11-01
696,29,8.0,2025-12-01
697,30,25.0,2024-01-01
698,30,25.58,2024-02-01
699,30,29.97,2024-03-01
700,30,31.97,2024-04-01
701,30,32.39,2024-05-01
702,30,31.87,2024-06-01
703,30,32.37,2024-07-01
704,30,32.96,2024-08-01
705,30,33.33,2024-09-01
706,30,34.16,2024-10-01
707,30,34.77,2024-11-01
708,30,34.57,2024-12-01
709,30,35.25,2025-01-01
710,30,35.96,2025-02-01
711,30,36.79,2025-03-01
712,30,37.51,2025-04-01
713,30,38.43,2025-05-01
714,30,37.4,2025-06-01
715,30,37.86,2025-07-01
716,30,38.42,2025-08-01
717,30,39.0,2025-09-01
718,30,39.91,2025-10-01
719,30,40.46,2025-11-01
720,30,41.2,2025-12-01
721,31,90.0,2024-01-01
722,31,91.31,2024-02-01
723,31,108.92,2024-03-01
724,31,117.76,2024-04-01
725,31,120.01,2024-05-01
726,31,122.22,2024-06-01
727,31,120.51,2024-07-01
728,31,122.76,2024-08-01
729,31,125.4,2024-09-01
730,31,127.86,2024-10-01
731,31,130.34,2024-11-01
732,31,133.51,2024-12-01
733,31,136.46,2025-01-01
734,31,132.57,2025-02-01
735,31,134.77,2025-03-01
736,31,136.53,2025-04-01
737,31,138.54,2025-05-01
738,31,141.45,2025-06-01
739,31,144.93,2025-07-01
740,31,147.18,2025-08-01
741,31,149.36,2025-09-01
742,31,151.45,2025-10-01
743,31,153.18,2025-11-01
744,31,155.59,2025-12-01
745,32,35.0,2024-01-01
746,32,35.48,2024-02-01
747,32,41.11,2024-03-01
748,32,44.18,2024-04-01
749,32,44.96,2024-05-01
750,32,44.67,2024-06-01
751,32,45.46,2024-07-01
752,32,46.06,2024-08-01
753,32,46.56,2024-09-01
754,32,47.64,2024-10-01
755,32,48.45,2024-11-01
756,32,49.55,2024-12-01
757,32,50.7,2025-01-01
758,32,51.79,2025-02-01
759,32,52.62,2025-03-01
760,32,53.3,2025-04-01
761,32,53.89,2025-05-01
762,32,55.05,2025-06-01
763,32,56.42,2025-07-01
764,32,57.08,2025-08-01
765,32,57.99,2025-09-01
766,32,58.86,2025-10-01
767,32,60.12,2025-11-01
768,32,61.18,2025-12-01
769,33,45.0,2024-01-01
770,33,45.48,2024-02-01
771,33,52.37,2024-03-01
772,33,56.15,2024-04-01
773,33,57.23,2024-05-01
774,33,58.65,2024-06-01
775,33,59.5,2024-07-01
776,33,60.83,2024-08-01
777,33,62.08,2024-09-01
778,33,63.46,2024-10-01
779,33,64.74,2024-11-01
780,33,65.95,2024-12-01
781,33,67.33,2025-01-01
782,33,68.03,2025-02-01
783,33,69.7,2025-03-01
784,33,71.21,2025-04-01
785,33,72.69,2025-05-01
786,33,73.6,2025-06-01
787,33,75.02,2025-07-01
788,33,75.94,2025-08-01
789,33,76.74,2025-09-01
790,33,75.04,2025-10-01
791,33,75.96,2025-11-01
792,33,77.19,2025-12-01
793,34,55.0,2024-01-01
794,34,56.31,2024-02-01
795,34,61.38,2024-03-01
796,34,66.04,2024-04-01
797,34,67.01,2024-05-01
798,34,68.6,2024-06-01
799,34,69.65,2024-07-01
800,34,71.1,2024-08-01
801,34,72.55,2024-09-01
802,34,73.48,2024-10-01
803,34,74.83,2024-11-01
804,34,76.67,2024-12-01
805,34,77.77,2025-01-01
806,34,79.37,2025-02-01
807,34,80.58,2025-03-01
808,34,82.35,2025-04-01
809,34,83.32,2025-05-01
810,34,84.63,2025-06-01
811,34,86.52,2025-07-01
812,34,88.43,2025-08-01
813,34,89.7,2025-09-01
814,34,91.06,2025-10-01
815,34,92.32,2025-11-01
816,34,93.52,2025-12-01
817,35,130.0,2024-01-01
818,35,133.12,2024-02-01
819,35,154.29,2024-03-01
820,35,165.84,2024-04-01
821,35,162.58,2024-05-01
822,35,160.84,2024-06-01
823,35,162.46,2024-07-01
824,35,166.35,2024-08-01
825,35,170.35,2024-09-01
826,35,173.27,2024-10-01
827,35,177.51,2024-11-01
828,35,181.0,2024-12-01
829,35,183.05,2025-01-01
830,35,186.35,2025-02-01
831,35,190.83,2025-03-01
832,35,193.24,2025-04-01
833,35,195.68,2025-05-01
834,35,200.56,2025-06-01
835,35,204.06,2025-07-01
836,35,209.05,2025-08-01
837,35,205.75,2025-09-01
838,35,208.14,2025-10-01
839,35,211.11,2025-11-01
840,35,214.94,2025-12-01
841,36,120.0,2024-01-01
842,36,122.89,2024-02-01
843,36,138.38,2024-03-01
844,36,147.06,2024-04-01
845,36,148.94,2024-05-01
846,36,152.2,2024-06-01
847,36,155.45,2024-07-01
848,36,159.0,2024-08-01
849,36,162.56,2024-09-01
850,36,164.4,2024-10-01
851,36,166.5,2024-11-01
852,36,168.97,2024-12-01
853,36,171.32,2025-01-01
854,36,174.97,2025-02-01
855,36,177.51,2025-03-01
856,36,179.32,2025-04-01
857,36,174.47,2025-05-01
858,36,177.02,2025-06-01
859,36,180.12,2025-07-01
860,36,183.82,2025-08-01
861,36,185.98,2025-09-01
862,36,188.66,2025-10-01
863,36,191.17,2025-11-01
864,36,193.52,2025-12-01
865,37,150.0,2024-01-01
866,37,152.86,2024-02-01
867,37,177.51,2024-03-01
868,37,189.91,2024-04-01
869,37,193.96,2024-05-01
870,37,196.14,2024-06-01
871,37,193.02,2024-07-01
872,37,195.13,2024-08-01
873,37,198.56,2024-09-01
874,37,200.99,2024-10-01
875,37,195.99,2024-11-01
876,37,192.61,2024-12-01
877,37,196.87,2025-01-01
878,37,200.35,2025-02-01
879,37,202.53,2025-03-01
880,37,207.01,2025-04-01
881,37,210.31,2025-05-01
882,37,214.77,2025-06-01
883,37,217.06,2025-07-01
884,37,219.44,2025-08-01
885,37,217.98,2025-09-01
886,37,220.26,2025-10-01
887,37,225.0,2025-11-01
888,37,230.55,2025-12-01
889,38,8.0,2024-01-01
890,38,8.13,2024-02-01
891,38,9.66,2024-03-01
892,38,10.45,2024-04-01
893,38,10.64,2024-05-01
894,38,10.8,2024-06-01
895,38,11.0,2024-07-01
896,38,11.23,2024-08-01
897,38,10.98,2024-09-01
898,38,11.2,2024-10-01
899,38,11.4,2024-11-01
900,38,11.56,2024-12-01
901,38,11.72,2025-01-01
902,38,11.61,2025-02-01
903,38,11.8,2025-03-01
904,38,11.51,2025-04-01
905,38,11.34,2025-05-01
906,38,11.21,2025-06-01
907,38,11.39,2025-07-01
908,38,11.54,2025-08-01
909,38,11.67,2025-09-01
910,38,11.84,2025-10-01
911,38,12.09,2025-11-01
912,38,12.32,2025-12-01
913,39,22.0,2024-01-01
914,39,22.33,2024-02-01
915,39,25.23,2024-03-01
916,39,26.97,2024-04-01
917,39,27.61,2024-05-01
918,39,28.06,2024-06-01
919,39,28.75,2024-07-01
920,39,29.33,2024-08-01
921,39,29.76,2024-09-01
922,39,30.12,2024-10-01
923,39,30.76,2024-11-01
924,39,31.46,2024-12-01
925,39,32.11,2025-01-01
926,39,32.87,2025-02-01
927,39,33.68,2025-03-01
928,39,34.08,2025-04-01
