OrderID,CustomerID,PlatformID,ZoneID,OrderStatus,OrderDate,OrderTime,Subtotal_EGP,DeliveryFee_EGP,PlatformCommissionPercent,PlatformCommissionAmount_EGP,Tip_EGP,IsCOD,WasCODRefused
23,155,3,24,Delivered,2025-06-03,2025-06-03 19:30:05,370.81,20.0,16.14,59.85,0,0,
24,390,2,8,Delivered,2025-04-24,2025-04-24 21:53:27,426.92,40.0,17.71,75.61,0,1,0
25,201,2,10,Delivered,2024-11-17,2024-11-17 13:12:38,560.07,32.0,17.29,96.84,30,1,1
26,350,3,35,Delivered,2024-12-20,2024-12-20 01:37:59,513.14,38.0,17.41,89.34,0,1,0
27,286,1,34,Cancelled,2025-06-23,2025-06-23 19:26:43,653.67,20.0,22.72,148.51,50,0,
28,266,2,21,Cancelled,2024-04-16,2024-04-16 23:42:05,278.64,20.0,17.78,49.54,15,0,
29,497,1,2,Cancelled,2025-11-20,2025-11-20 15:20:17,153.32,28.0,24.9,38.18,0,1,0
30,289,3,19,Delivered,2025-09-28,2025-09-28 13:21:07,458.08,20.0,18.7,85.66,0,0,
31,66,3,2,Delivered,2024-03-15,2024-03-15 13:08:56,340.71,28.0,19.17,65.31,0,0,
32,32,5,10,Delivered,2025-02-04,2025-02-04 19:49:27,754.53,32.0,0.0,0.0,0,0,
33,417,2,20,Delivered,2025-02-20,2025-02-20 00:06:16,515.52,0.0,16.85,86.87,0,0,
34,483,1,2,Refunded,2025-11-24,2025-11-24 14:45:44,332.3,28.0,23.96,79.62,50,1,0
35,294,5,10,Delivered,2025-08-01,2025-08-01 12:16:41,838.19,32.0,0.0,0.0,50,0,
36,371,5,6,Delivered,2025-11-21,2025-11-21 23:18:24,473.56,30.0,0.0,0.0,0,1,1
37,380,2,7,Delivered,2024-03-14,2024-03-14 17:05:06,522.5,25.0,17.09,89.3,0,0,
38,18,1,28,Cancelled,2025-10-15,2025-10-15 21:06:13,431.99,20.0,22.46,97.02,10,1,1
39,145,2,9,Delivered,2024-06-14,2024-06-14 21:15:27,628.87,42.0,17.35,109.11,0,0,
40,218,4,2,Delivered,2025-03-09,2025-03-09 17:20:52,365.76,28.0,13.48,49.3,20,1,1
41,139,1,1,Delivered,2025-06-02,2025-06-02 11:24:10,332.17,30.0,23.79,79.02,0,1,0
42,55,2,5,Delivered,2025-01-22,2025-01-22 22:23:24,261.68,22.0,16.05,42.0,0,0,
43,110,2,15,Delivered,2024-11-20,2024-11-20 12:33:42,489.73,22.0,16.4,80.32,25,1,0
44,270,1,5,Delivered,2025-10-26,2025-10-26 11:07:47,213.64,22.0,23.02,49.18,0,1,0
45,369,1,34,Delivered,2025-05-07,2025-05-07 20:08:40,402.21,20.0,24.46,98.38,0,1,0
46,174,3,12,Delivered,2025-05-03,2025-05-03 14:29:11,223.22,27.0,16.45,36.72,25,1,0
47,18,1,28,Delivered,2024-04-01,2024-04-01 17:14:24,208.07,20.0,21.84,45.44,25,0,
48,450,1,19,Delivered,2025-11-11,2025-11-11 21:02:04,576.34,20.0,22.21,128.01,0,0,
49,386,1,3,Refunded,2025-10-24,2025-10-24 23:10:32,414.36,0.0,20.82,86.27,10,1,0
50,131,5,14,Delivered,2025-02-06,2025-02-06 12:10:05,455.14,25.0,0.0,0.0,0,0,
51,445,2,11,Delivered,2024-12-12,2024-12-12 20:31:52,454.18,28.0,16.89,76.71,0,0,
52,326,2,6,Delivered,2024-10-12,2024-10-12 10:29:45,673.61,30.0,15.22,102.52,0,1,0
53,373,2,2,Cancelled,2024-07-27,2024-07-27 22:10:55,602.67,28.0,16.21,97.69,0,1,0
54,323,2,15,Delivered,2025-08-07,2025-08-07 23:28:34,478.36,22.0,16.36,78.26,10,1,0
55,485,5,12,Delivered,2024-01-08,2024-01-08 20:54:34,524.37,27.0,0.0,0.0,20,0,
56,357,5,22,Delivered,2024-11-04,2024-11-04 21:32:19,697.5,22.0,0.0,0.0,0,1,1
57,426,1,1,Delivered,2024-09-24,2024-09-24 14:03:00,145.52,30.0,22.24,32.36,0,1,0
58,86,3,16,Delivered,2025-10-21,2025-10-21 12:24:24,141.81,20.0,18.82,26.69,0,1,0
59,415,1,15,Delivered,2025-06-10,2025-06-10 21:49:31,661.05,22.0,24.17,159.78,50,0,
60,117,1,14,Delivered,2024-04-18,2024-04-18 23:35:47,243.69,25.0,22.51,54.85,0,1,0
61,393,3,6,Delivered,2024-02-08,2024-02-08 20:24:42,253.87,30.0,15.9,40.37,15,1,0
62,493,3,13,Delivered,2024-06-15,2024-06-15 22:33:41,322.33,25.0,17.26,55.63,0,0,
63,450,2,19,Delivered,2025-04-18,2025-04-18 18:36:51,476.37,20.0,17.0,80.98,5,1,0
64,389,2,1,Delivered,2025-02-09,2025-02-09 13:49:56,642.27,30.0,16.51,106.04,0,1,0
65,493,1,13,Cancelled,2025-02-21,2025-02-21 23:41:35,188.2,25.0,23.92,45.02,0,1,0
66,59,3,18,Delivered,2025-05-16,2025-05-16 22:35:27,370.55,20.0,16.01,59.33,5,1,0
67,415,5,15,Delivered,2024-09-28,2024-09-28 12:40:25,600.75,22.0,0.0,0.0,20,1,1
68,271,1,5,Delivered,2025-07-19,2025-07-19 14:32:20,227.36,22.0,20.95,47.63,0,1,1
69,86,1,16,Delivered,2024-09-26,2024-09-26 12:52:55,230.38,20.0,24.72,56.95,20,1,0
70,246,4,1,Delivered,2024-05-22,2024-05-22 13:34:30,504.63,30.0,14.58,73.58,0,1,0
71,474,2,1,Delivered,2025-03-24,2025-03-24 17:14:20,768.1,30.0,17.69,135.88,0,1,1
72,49,4,3,Delivered,2024-03-12,2024-03-12 17:33:06,595.57,45.0,12.76,75.99,20,0,
73,449,2,1,Delivered,2025-03-14,2025-03-14 13:32:13,731.13,30.0,16.08,117.57,0,1,0
74,117,5,14,Delivered,2025-09-14,2025-09-14 20:48:04,567.26,25.0,0.0,0.0,50,1,0
75,192,1,7,Delivered,2024-02-07,2024-02-07 20:02:28,453.76,25.0,20.53,93.16,0,1,0
76,155,1,24,Delivered,2025-10-15,2025-10-15 20:26:45,499.14,20.0,22.9,114.3,5,1,1
77,289,4,19,Delivered,2024-09-19,2024-09-19 14:13:18,653.33,20.0,13.69,89.44,0,1,0
78,415,1,15,Delivered,2024-07-11,2024-07-11 23:53:28,559.6,22.0,22.1,123.67,0,1,0
79,131,1,14,Delivered,2025-07-24,2025-07-24 16:47:58,202.58,25.0,23.95,48.52,0,1,0
80,477,1,19,Delivered,2024-01-23,2024-01-23 11:43:36,223.81,20.0,22.39,50.11,20,1,0
81,83,1,10,Delivered,2024-10-14,2024-10-14 10:42:34,500.34,32.0,23.48,117.48,0,0,
82,127,1,22,Delivered,2024-05-15,2024-05-15 23:21:54,181.27,22.0,21.78,39.48,0,0,
83,342,4,1,Delivered,2025-06-27,2025-06-27 22:54:52,513.38,30.0,12.99,66.69,0,1,0
84,133,1,6,Delivered,2025-09-19,2025-09-19 22:54:15,293.29,30.0,20.82,61.06,20,1,0
85,445,1,11,Delivered,2024-05-16,2024-05-16 16:59:22,270.65,28.0,22.76,61.6,30,0,
86,201,4,10,Delivered,2024-12-30,2024-12-30 23:13:19,265.11,32.0,14.43,38.26,0,1,0
87,119,1,10,Delivered,2024-11-30,2024-11-30 13:30:54,427.61,32.0,24.08,102.97,0,1,0
88,303,2,5,Rejected,2025-05-10,2025-05-10 12:42:42,458.0,22.0,16.91,77.45,0,0,
89,92,1,29,Delivered,2024-01-11,2024-01-11 01:16:33,541.7,20.0,24.72,133.91,0,1,0
90,376,2,9,Cancelled,2025-01-20,2025-01-20 23:29:01,458.61,42.0,17.63,80.85,10,1,0
91,383,1,15,Delivered,2024-02-17,2024-02-17 10:19:14,231.37,22.0,22.87,52.91,0,0,
92,201,4,10,Delivered,2024-09-14,2024-09-14 20:13:20,721.08,32.0,14.6,105.28,30,0,
93,202,3,2,Delivered,2024-10-07,2024-10-07 09:01:20,258.76,28.0,18.39,47.59,0,0,
94,173,2,7,Delivered,2025-08-04,2025-08-04 12:56:23,142.23,25.0,17.17,24.42,0,1,0
95,457,3,11,Delivered,2025-05-22,2025-05-22 15:38:31,423.5,28.0,17.81,75.43,0,1,0
96,94,2,12,Delivered,2025-06-13,2025-06-13 19:28:17,340.77,0.0,16.15,55.03,0,1,0
97,467,3,28,Delivered,2025-08-03,2025-08-03 12:24:06,131.84,20.0,18.93,24.96,0,1,0
98,319,3,6,Cancelled,2024-07-17,2024-07-17 12:08:19,608.86,30.0,18.86,114.83,0,1,0
99,323,1,15,Delivered,2025-01-23,2025-01-23 19:56:38,291.32,22.0,21.68,63.16,20,1,0
100,445,4,11,Delivered,2024-09-24,2024-09-24 13:00:31,463.62,28.0,14.99,69.5,50,1,0
101,133,1,6,Delivered,2024-07-28,2024-07-28 12:26:03,269.86,30.0,23.2,62.61,20,1,0
102,476,1,9,Delivered,2025-05-01,2025-05-01 14:03:59,450.41,42.0,24.7,111.25,0,0,
103,180,1,5,Delivered,2025-09-11,2025-09-11 16:37:38,338.72,22.0,23.15,78.41,0,0,
104,22,1,28,Delivered,2025-03-08,2025-03-08 17:20:40,187.71,20.0,23.87,44.81,0,1,0
105,353,1,12,Delivered,2025-12-11,2025-12-11 18:08:14,354.44,27.0,23.84,84.5,0,0,
106,157,3,5,Delivered,2024-09-26,2024-09-26 16:54:40,190.04,22.0,18.5,35.16,25,1,0
107,185,5,24,Delivered,2024-04-25,2024-04-25 20:04:36,335.42,20.0,0.0,0.0,0,1,0
108,107,2,1,Delivered,2025-08-30,2025-08-30 20:20:29,534.05,30.0,17.58,93.89,0,1,0
109,202,3,2,Delivered,2024-01-02,2024-01-02 21:15:38,509.85,28.0,15.23,77.65,0,1,1
110,290,1,1,Delivered,2025-11-23,2025-11-23 20:58:56,459.83,30.0,24.45,112.43,10,0,
111,254,1,3,Cancelled,2024-12-27,2024-12-27 13:48:45,793.01,45.0,22.59,179.14,0,1,0
112,185,5,24,Delivered,2025-10-15,2025-10-15 14:31:43,665.12,20.0,0.0,0.0,20,0,
113,379,5,14,Delivered,2025-03-16,2025-03-16 17:34:07,212.22,25.0,0.0,0.0,0,1,0
114,148,1,8,Delivered,2024-12-04,2024-12-04 20:58:00,595.12,40.0,20.41,121.46,0,1,0
115,220,1,18,Cancelled,2024-03-26,2024-03-26 18:46:51,785.32,0.0,21.17,166.25,0,1,0
116,129,5,31,Delivered,2024-04-19,2024-04-19 21:40:19,379.94,20.0,0.0,0.0,10,1,0
117,232,1,27,Cancelled,2025-01-08,2025-01-08 21:53:36,401.93,20.0,23.07,92.73,0,1,0
118,290,5,1,Delivered,2024-01-25,2024-01-25 00:55:42,534.96,30.0,0.0,0.0,0,1,0
119,391,2,20,Delivered,2024-11-12,2024-11-12 22:43:59,599.98,22.0,17.32,103.92,30,0,
120,377,3,11,Delivered,2025-10-15,2025-10-15 13:32:41,638.41,28.0,17.55,112.04,0,0,
121,110,1,15,Delivered,2024-05-02,2024-05-02 14:15:19,607.27,22.0,24.51,148.84,30,1,0
122,5,5,7,Delivered,2025-07-02,2025-07-02 19:32:41,185.57,25.0,0.0,0.0,0,1,0
123,325,1,13,Delivered,2024-03-01,2024-03-01 20:36:55,463.58,25.0,24.49,113.53,0,1,0
124,228,3,11,Pending,2024-05-05,2024-05-05 21:16:23,254.76,28.0,15.33,39.05,25,0,
125,49,5,3,Cancelled,2025-04-16,2025-04-16 13:03:21,747.2,0.0,0.0,0.0,30,0,
126,464,1,9,Rejected,2025-01-02,2025-01-02 16:10:26,836.29,42.0,20.37,170.35,50,1,0
127,100,5,3,Refunded,2024-12-30,2024-12-30 19:22:04,863.93,45.0,0.0,0.0,0,1,0
128,433,1,5,Delivered,2024-09-28,2024-09-28 21:35:27,288.0,22.0,21.98,63.3,0,0,
129,350,2,35,Delivered,2024-11-08,2024-11-08 17:43:47,809.18,38.0,15.27,123.56,50,0,
130,296,2,2,Delivered,2025-05-22,2025-05-22 20:46:53,614.53,0.0,17.9,110.0,0,1,0
131,247,2,6,Cancelled,2024-12-23,2024-12-23 14:13:28,607.38,30.0,16.54,100.46,0,1,0
132,17,2,6,Delivered,2024-01-20,2024-01-20 22:06:08,303.66,30.0,16.0,48.59,0,0,
133,378,4,5,Refunded,2025-11-29,2025-11-29 19:55:49,338.38,22.0,14.55,49.23,0,1,0
134,270,2,5,Delivered,2024-07-27,2024-07-27 23:46:46,413.68,22.0,17.51,72.44,0,1,0
135,305,1,6,Delivered,2025-12-18,2025-12-18 15:49:17,203.45,30.0,20.48,41.67,0,0,
136,83,4,10,Cancelled,2024-03-29,2024-03-29 22:31:04,487.29,32.0,14.37,70.02,15,0,
137,476,2,9,Delivered,2024-02-29,2024-02-29 19:39:34,524.07,42.0,15.29,80.13,50,0,
138,284,1,5,Refunded,2024-03-23,2024-03-23 02:28:07,345.24,22.0,24.2,83.55,0,1,0
139,22,2,28,Delivered,2024-05-02,2024-05-02 21:40:20,621.05,20.0,17.13,106.39,0,1,0
140,394,3,9,Cancelled,2024-02-22,2024-02-22 14:27:19,657.3,42.0,16.78,110.29,0,0,
141,304,1,3,Delivered,2024-04-09,2024-04-09 18:50:50,529.17,0.0,22.78,120.54,0,1,0
142,411,3,7,Delivered,2025-10-22,2025-10-22 22:38:55,123.1,25.0,17.59,21.65,10,0,
143,198,4,2,Delivered,2024-03-19,2024-03-19 12:49:05,549.3,28.0,13.94,76.57,0,1,0
144,398,1,7,Delivered,2025-07-28,2025-07-28 23:13:51,436.41,25.0,20.56,89.73,25,0,
145,223,4,9,Delivered,2024-01-04,2024-01-04 20:50:32,425.5,42.0,14.48,61.61,25,1,0
146,124,1,1,Delivered,2024-03-13,2024-03-13 18:50:28,763.61,30.0,21.23,162.11,20,0,
147,17,1,6,Delivered,2024-07-09,2024-07-09 23:44:32,215.92,30.0,22.41,48.39,10,1,0
148,396,3,13,Pending,2025-08-14,2025-08-14 17:10:00,363.26,25.0,15.25,55.4,0,1,0
149,28,1,3,Delivered,2024-07-22,2024-07-22 13:28:21,623.77,45.0,22.92,142.97,0,1,0
150,423,5,10,Delivered,2024-11-28,2024-11-28 13:52:57,682.2,32.0,0.0,0.0,0,0,
151,284,1,5,Rejected,2024-06-22,2024-06-22 14:23:43,446.13,22.0,24.69,110.15,0,1,0
152,270,3,5,Delivered,2025-09-12,2025-09-12 16:11:07,415.1,22.0,18.55,77.0,0,1,1
153,377,2,11,Delivered,2024-07-13,2024-07-13 15:59:14,495.86,28.0,16.28,80.73,0,1,0
154,195,1,28,Cancelled,2024-10-07,2024-10-07 20:37:48,273.61,20.0,20.06,54.89,0,1,0
155,453,2,16,Delivered,2025-05-01,2025-05-01 00:35:23,442.27,20.0,17.22,76.16,5,1,1
156,435,1,30,Cancelled,2024-06-27,2024-06-27 18:25:47,132.58,20.0,23.04,30.55,5,1,0
157,346,4,3,Cancelled,2024-06-19,2024-06-19 22:49:46,291.96,0.0,14.75,43.06,0,0,
158,344,3,9,Delivered,2025-01-11,2025-01-11 21:28:26,784.18,42.0,19.51,152.99,50,0,
159,427,5,6,Delivered,2025-06-21,2025-06-21 19:39:58,639.15,30.0,0.0,0.0,0,0,
160,368,1,1,Delivered,2024-07-26,2024-07-26 13:10:39,639.99,30.0,24.85,159.04,0,1,1
161,192,1,7,Delivered,2025-04-03,2025-04-03 13:27:48,400.5,25.0,23.86,95.56,0,1,1
162,334,1,12,Delivered,2024-01-19,2024-01-19 22:20:04,167.7,27.0,23.57,39.53,30,0,
163,239,3,17,Pending,2025-12-03,2025-12-03 21:21:56,356.59,20.0,19.04,67.89,0,1,0
164,133,2,6,Delivered,2024-07-16,2024-07-16 23:41:50,302.12,30.0,15.05,45.47,30,1,0
165,333,1,6,Delivered,2025-05-18,2025-05-18 21:00:33,277.89,30.0,22.74,63.19,0,1,1
166,445,5,11,Delivered,2025-06-20,2025-06-20 01:00:34,357.42,28.0,0.0,0.0,20,0,
167,15,2,7,Delivered,2025-11-13,2025-11-13 22:43:57,325.41,25.0,17.22,56.04,0,1,1
168,4,1,13,Delivered,2025-03-17,2025-03-17 03:27:07,334.11,25.0,23.34,77.98,25,0,
169,319,4,6,Delivered,2024-06-29,2024-06-29 11:29:29,573.8,30.0,12.47,71.55,0,1,0
170,287,5,9,Delivered,2025-06-20,2025-06-20 21:05:44,843.12,42.0,0.0,0.0,0,0,
171,66,3,2,Cancelled,2024-12-20,2024-12-20 00:05:21,309.44,28.0,15.82,48.95,5,1,0
172,240,1,11,Delivered,2024-09-20,2024-09-20 14:04:52,277.17,28.0,21.3,59.04,0,0,
173,383,1,15,Delivered,2025-03-20,2025-03-20 21:00:00,420.35,22.0,21.35,89.74,0,1,0
174,398,1,7,Delivered,2025-01-13,2025-01-13 11:46:24,125.59,25.0,22.42,28.16,30,1,1
175,306,1,10,Delivered,2025-03-14,2025-03-14 18:27:26,378.4,32.0,21.01,79.5,25,0,
176,107,2,1,Delivered,2025-07-22,2025-07-22 21:53:09,150.81,30.0,16.8,25.34,0,1,0
177,467,2,28,Delivered,2024-06-13,2024-06-13 21:03:00,468.81,20.0,15.19,71.21,20,1,0
178,438,4,1,Delivered,2025-06-08,2025-06-08 13:43:44,528.48,30.0,12.05,63.68,0,0,
179,26,4,1,Delivered,2025-11-04,2025-11-04 14:09:19,516.05,30.0,14.39,74.26,0,1,0
180,420,2,2,Delivered,2025-04-14,2025-04-14 14:58:16,137.99,28.0,16.97,23.42,50,1,0
181,392,3,35,Delivered,2025-01-06,2025-01-06 21:15:20,851.73,38.0,18.92,161.15,0,0,
182,429,3,11,Delivered,2025-12-31,2025-12-31 21:20:52,543.03,28.0,19.63,106.6,0,1,0
183,362,1,4,Delivered,2024-06-11,2024-06-11 22:43:30,538.35,35.0,24.52,132.0,0,1,0
184,363,3,27,Cancelled,2024-10-28,2024-10-28 22:32:42,591.51,20.0,18.68,110.49,20,1,0
185,283,2,10,Delivered,2025-03-17,2025-03-17 03:10:26,328.48,0.0,16.67,54.76,5,1,0
186,177,1,2,Delivered,2025-07-14,2025-07-14 21:51:11,283.99,28.0,24.5,69.58,0,1,0
187,185,2,24,Delivered,2025-04-17,2025-04-17 15:10:51,375.02,20.0,17.98,67.43,0,0,
188,130,2,10,Delivered,2025-02-06,2025-02-06 21:50:42,797.3,32.0,16.85,134.35,0,0,
189,273,1,5,Delivered,2024-03-21,2024-03-21 02:40:09,460.45,22.0,24.21,111.47,30,1,1
190,119,4,10,Delivered,2024-06-10,2024-06-10 23:23:39,478.71,32.0,12.52,59.93,0,0,
191,192,1,7,Delivered,2024-01-17,2024-01-17 19:49:39,298.59,25.0,20.65,61.66,25,1,0
192,284,1,5,Delivered,2024-11-30,2024-11-30 14:45:13,310.95,22.0,20.2,62.81,20,1,0
193,225,1,5,Delivered,2024-09-11,2024-09-11 12:44:56,399.16,22.0,20.1,80.23,5,1,0
194,83,2,10,Delivered,2025-05-29,2025-05-29 20:20:50,492.21,0.0,16.81,82.74,10,0,
195,298,2,19,Delivered,2024-12-23,2024-12-23 20:26:02,235.87,20.0,17.18,40.52,0,1,0
196,498,1,6,Delivered,2024-05-20,2024-05-20 23:44:14,247.49,30.0,23.08,57.12,0,0,
197,34,5,8,Delivered,2024-10-08,2024-10-08 11:03:03,435.97,40.0,0.0,0.0,0,1,0
198,90,4,6,Delivered,2025-05-07,2025-05-07 12:18:24,220.18,30.0,12.22,26.91,30,1,0
199,401,3,9,Pending,2024-03-01,2024-03-01 17:14:15,871.63,42.0,15.56,135.63,0,1,0
200,401,1,9,Delivered,2025-05-23,2025-05-23 01:30:17,324.44,42.0,22.94,74.43,0,1,1
201,80,3,2,Delivered,2025-11-07,2025-11-07 14:25:06,204.61,28.0,17.9,36.63,0,0,
202,181,3,17,Delivered,2024-04-22,2024-04-22 22:42:33,230.39,20.0,18.25,42.05,50,1,0
203,432,1,2,Delivered,2025-02-25,2025-02-25 21:00:44,232.63,28.0,24.76,57.6,0,1,0
204,387,2,9,Delivered,2025-01-22,2025-01-22 13:34:52,230.05,42.0,16.29,37.48,0,0,
205,18,1,28,Delivered,2025-04-02,2025-04-02 20:17:05,306.65,20.0,21.02,64.46,0,1,0
206,73,1,1,Delivered,2024-05-15,2024-05-15 14:39:28,565.54,30.0,22.89,129.45,20,1,0
207,445,1,11,Delivered,2025-03-30,2025-03-30 02:25:46,442.84,0.0,21.34,94.5,10,1,0
208,228,2,11,Delivered,2025-03-14,2025-03-14 18:33:30,152.97,28.0,15.73,24.06,0,1,0
209,122,1,19,Delivered,2025-01-28,2025-01-28 14:37:25,487.54,20.0,24.9,121.4,0,1,0
210,102,1,24,Delivered,2025-03-21,2025-03-21 21:55:31,232.69,20.0,23.09,53.73,10,1,0
211,6,1,2,Delivered,2024-09-12,2024-09-12 20:28:39,292.41,28.0,22.24,65.03,0,1,0
212,427,1,6,Delivered,2025-04-20,2025-04-20 19:27:20,284.27,30.0,21.12,60.04,0,1,0
213,68,1,2,Delivered,2024-11-28,2024-11-28 12:09:50,466.09,0.0,24.47,114.05,0,1,0
214,96,2,7,Refunded,2025-04-19,2025-04-19 13:00:27,253.86,25.0,15.15,38.46,20,1,0
215,112,1,10,Delivered,2025-11-02,2025-11-02 22:37:26,637.04,32.0,21.95,139.83,0,1,0
216,374,2,11,Delivered,2025-12-01,2025-12-01 20:04:14,225.9,28.0,15.35,34.68,10,1,0
217,247,1,6,Delivered,2025-08-12,2025-08-12 15:46:36,136.02,30.0,23.33,31.73,0,0,
218,324,5,5,Delivered,2025-01-04,2025-01-04 19:46:55,370.98,22.0,0.0,0.0,0,1,0
219,49,2,3,Delivered,2025-04-30,2025-04-30 20:59:04,206.55,45.0,16.96,35.03,0,0,
220,263,2,6,Delivered,2024-01-24,2024-01-24 13:25:40,391.2,30.0,16.43,64.27,10,1,1
221,339,1,11,Refunded,2024-05-20,2024-05-20 12:20:40,699.47,28.0,21.48,150.25,0,1,0
222,265,1,35,Delivered,2024-12-03,2024-12-03 10:16:16,625.13,38.0,24.61,153.84,0,1,0
223,426,3,1,Delivered,2024-04-26,2024-04-26 19:41:25,314.15,30.0,19.34,60.76,0,0,
224,84,3,16,Delivered,2024-09-12,2024-09-12 22:25:23,300.59,20.0,15.91,47.82,0,1,0
225,97,1,10,Delivered,2024-02-19,2024-02-19 23:15:13,254.6,0.0,22.53,57.36,10,1,0
226,173,1,7,Refunded,2025-07-16,2025-07-16 22:04:51,340.98,25.0,25.0,85.25,0,1,0
227,205,1,22,Delivered,2025-08-21,2025-08-21 23:19:32,685.0,0.0,21.61,148.03,0,0,
228,323,1,15,Delivered,2025-03-14,2025-03-14 21:21:02,342.84,22.0,24.51,84.03,20,1,0
229,1,1,2,Delivered,2024-03-14,2024-03-14 17:18:22,393.65,0.0,22.66,89.2,0,0,
230,392,5,35,Pending,2025-02-22,2025-02-22 21:16:16,733.08,38.0,0.0,0.0,0,1,0
231,49,1,3,Delivered,2025-06-23,2025-06-23 11:34:08,411.54,45.0,21.07,86.71,10,1,0
232,475,1,13,Delivered,2024-10-01,2024-10-01 21:19:01,226.98,25.0,20.63,46.83,0,1,0
233,198,1,2,Delivered,2025-02-25,2025-02-25 12:36:59,678.43,28.0,20.07,136.16,50,0,
234,139,3,1,Delivered,2025-06-23,2025-06-23 20:18:12,676.75,30.0,15.12,102.32,30,1,0
235,239,4,17,Delivered,2024-08-18,2024-08-18 22:02:19,304.13,20.0,12.73,38.72,0,1,0
236,323,1,15,Delivered,2025-03-04,2025-03-04 03:31:41,377.21,22.0,21.7,81.85,0,0,
237,338,1,4,Delivered,2024-02-10,2024-02-10 22:19:53,651.89,35.0,22.63,147.52,0,1,0
238,380,5,7,Delivered,2025-06-14,2025-06-14 19:52:46,289.96,25.0,0.0,0.0,20,1,0
239,280,1,2,Refunded,2025-03-10,2025-03-10 18:30:43,316.0,28.0,21.53,68.03,10,1,0
240,398,1,7,Refunded,2025-02-07,2025-02-07 20:13:20,183.88,25.0,23.07,42.42,0,1,0
241,443,1,5,Delivered,2024-12-20,2024-12-20 13:04:00,278.99,22.0,22.03,61.46,0,1,1
242,180,2,5,Cancelled,2025-07-15,2025-07-15 12:07:33,202.75,22.0,17.36,35.2,0,1,0
243,288,1,8,Delivered,2025-12-23,2025-12-23 20:10:06,607.58,40.0,22.91,139.2,0,0,
244,250,1,1,Delivered,2024-01-15,2024-01-15 22:38:49,613.76,30.0,21.8,133.8,0,0,
245,200,1,31,Delivered,2025-02-11,2025-02-11 19:11:35,465.6,20.0,22.03,102.57,0,1,0
246,288,5,8,Delivered,2024-09-22,2024-09-22 21:49:48,208.24,40.0,0.0,0.0,25,0,
247,352,1,5,Delivered,2025-01-17,2025-01-17 15:27:22,141.27,22.0,23.42,33.09,15,1,0
248,441,5,10,Pending,2024-08-07,2024-08-07 23:21:46,621.89,0.0,0.0,0.0,0,0,
249,110,1,15,Delivered,2024-11-28,2024-11-28 19:10:26,401.03,22.0,24.51,98.29,20,1,0
250,285,1,3,Delivered,2025-11-02,2025-11-02 12:02:16,680.3,45.0,22.19,150.96,0,1,0
251,72,1,3,Delivered,2024-11-21,2024-11-21 14:25:07,806.34,45.0,22.47,181.18,0,0,
