CompetitorMenuItemID,CompetitorID,YourItemID,CompetitorItemName,CompetitorPrice_EGP,IsOnPromotion,DateTracked
51,1,28,Om Ali Dessert,64.68,0,2024-08-12
52,1,28,Om Ali,65.62,0,2024-08-26
53,1,28,Om Ali Dessert,62.84,1,2024-10-07
54,1,28,Om Ali Dessert,63.58,0,2024-10-21
55,1,28,Egyptian Bread Pudding,58.93,1,2024-11-04
56,1,28,Egyptian Bread Pudding,55.77,1,2024-12-02
57,1,28,Om Ali Dessert,56.43,0,2024-12-30
58,1,28,Egyptian Bread Pudding,56.73,0,2025-01-13
59,1,28,Egyptian Bread Pudding,55.89,0,2025-02-24
60,1,28,Om Ali,53.93,1,2025-03-10
61,1,28,Egyptian Bread Pudding,54.25,0,2025-04-21
62,1,28,Egyptian Bread Pudding,54.73,0,2025-05-05
63,1,28,Om Ali,55.37,0,2025-05-19
64,1,28,Om Ali Dessert,53.82,0,2025-06-16
65,1,28,Om Ali Dessert,54.21,0,2025-07-14
66,1,28,Egyptian Bread Pudding,54.97,0,2025-07-28
67,1,28,Om Ali,55.59,0,2025-09-08
68,1,28,Om Ali,56.14,0,2025-10-06
69,1,28,Egyptian Bread Pudding,54.54,0,2025-10-20
70,1,28,Om Ali Dessert,55.1,0,2025-11-03
71,1,28,Om Ali Dessert,51.09,1,2025-11-17
72,1,28,Om Ali Dessert,51.51,0,2025-12-29
73,1,60,Lamb Feast,806.17,0,2024-01-15
74,1,60,Lamb Family Meal,815.54,0,2024-01-29
75,1,60,Lamb Family Meal,826.76,0,2024-02-12
76,1,60,Lamb Feast,835.18,0,2024-02-26
77,1,60,Family Lamb Platter,842.87,0,2024-03-11
78,1,60,Lamb Feast,748.53,1,2024-03-25
79,1,60,Lamb Family Meal,669.3,1,2024-04-08
80,1,60,Lamb Family Meal,675.96,0,2024-05-06
81,1,60,Family Lamb Platter,646.98,1,2024-05-20
82,1,60,Lamb Feast,653.73,0,2024-06-17
83,1,60,Lamb Feast,613.94,1,2024-07-01
84,1,60,Family Lamb Platter,604.29,0,2024-07-15
85,1,60,Lamb Feast,608.57,0,2024-08-12
86,1,60,Lamb Feast,617.56,0,2024-08-26
87,1,60,Lamb Feast,608.97,0,2024-09-09
88,1,60,Lamb Feast,614.25,0,2024-09-23
89,1,60,Lamb Family Meal,618.05,0,2024-10-07
90,1,60,Lamb Family Meal,621.69,0,2024-11-04
91,1,60,Lamb Feast,628.68,0,2024-12-02
92,1,60,Family Lamb Platter,634.41,0,2024-12-16
93,1,60,Lamb Family Meal,642.33,0,2024-12-30
94,1,60,Lamb Family Meal,649.7,0,2025-02-10
95,1,60,Lamb Feast,659.22,0,2025-02-24
96,1,60,Lamb Family Meal,640.7,0,2025-03-10
97,1,60,Lamb Feast,645.9,0,2025-04-07
98,1,60,Lamb Family Meal,651.86,0,2025-04-21
99,1,60,Lamb Feast,661.17,0,2025-05-19
100,1,60,Lamb Family Meal,669.6,0,2025-06-02
101,1,60,Lamb Feast,674.28,0,2025-06-30
102,1,60,Lamb Family Meal,681.11,0,2025-07-14
103,1,60,Lamb Family Meal,689.77,0,2025-07-28
104,1,60,Lamb Family Meal,695.18,0,2025-08-25
105,1,60,Lamb Family Meal,701.96,0,2025-09-08
106,1,60,Family Lamb Platter,705.89,0,2025-09-22
107,1,60,Family Lamb Platter,711.4,0,2025-10-06
108,1,60,Lamb Feast,716.21,0,2025-10-20
109,1,60,Lamb Family Meal,668.72,1,2025-11-17
110,1,60,Family Lamb Platter,673.1,0,2025-12-01
111,1,60,Lamb Family Meal,682.02,0,2025-12-15
112,1,60,Lamb Family Meal,691.29,0,2025-12-29
113,1,8,Green Soup,108.42,0,2024-01-01
114,1,8,Green Soup,109.91,0,2024-01-15
115,1,8,Molokhia & Rice,111.29,0,2024-01-29
116,1,8,Molokhia Dish,108.97,0,2024-02-12
117,1,8,Molokhia Dish,101.0,1,2024-03-11
118,1,8,Molokhia & Rice,102.25,0,2024-03-25
119,1,8,Green Soup,102.8,0,2024-04-22
120,1,8,Green Soup,104.22,0,2024-05-06
121,1,8,Green Soup,104.99,0,2024-05-20
122,1,8,Molokhia & Rice,96.01,1,2024-06-17
123,1,8,Molokhia Dish,96.64,0,2024-07-01
124,1,8,Molokhia & Rice,97.21,0,2024-07-29
125,1,8,Green Soup,98.16,0,2024-08-12
126,1,8,Molokhia & Rice,99.0,0,2024-08-26
127,1,8,Green Soup,96.43,0,2024-09-09
128,1,8,Molokhia Dish,97.59,0,2024-09-23
129,1,8,Molokhia & Rice,95.97,0,2024-10-07
130,1,8,Molokhia Dish,96.62,0,2024-11-04
131,1,8,Molokhia & Rice,97.71,0,2024-11-18
132,1,8,Molokhia & Rice,99.02,0,2024-12-30
133,1,8,Molokhia Dish,99.82,0,2025-01-27
134,1,8,Green Soup,89.49,1,2025-03-10
135,1,8,Molokhia Dish,83.23,1,2025-05-05
136,1,8,Molokhia Dish,83.68,0,2025-05-19
137,1,8,Molokhia & Rice,84.91,0,2025-06-02
138,1,8,Molokhia & Rice,77.51,1,2025-06-16
139,1,8,Green Soup,74.46,1,2025-06-30
140,1,8,Green Soup,73.92,0,2025-07-14
141,1,8,Molokhia & Rice,74.98,0,2025-07-28
142,1,8,Green Soup,75.45,0,2025-08-11
143,1,8,Molokhia Dish,71.11,1,2025-08-25
144,1,8,Molokhia & Rice,71.53,0,2025-09-08
145,1,8,Green Soup,72.21,0,2025-10-06
146,1,8,Molokhia Dish,71.14,0,2025-10-20
147,1,8,Green Soup,71.95,0,2025-11-03
148,1,8,Molokhia & Rice,71.1,0,2025-11-17
149,1,8,Molokhia & Rice,71.54,0,2025-12-29
150,1,51,Giblets Sandwich,71.41,0,2024-01-01
151,1,51,Liver Sandwich,71.98,0,2024-02-12
152,1,51,Spicy Liver Sub,72.72,0,2024-03-11
153,1,51,Liver Sandwich,67.98,1,2024-03-25
154,1,51,Spicy Liver Sub,68.37,0,2024-04-08
155,1,51,Spicy Liver Sub,67.57,0,2024-05-06
156,1,51,Spicy Liver Sub,68.01,0,2024-05-20
157,1,51,Liver Sandwich,68.48,0,2024-06-03
158,1,51,Liver Sandwich,66.71,0,2024-07-15
159,1,51,Giblets Sandwich,67.1,0,2024-07-29
160,1,51,Liver Sandwich,67.87,0,2024-08-26
161,1,51,Giblets Sandwich,68.32,0,2024-09-09
162,1,51,Giblets Sandwich,69.08,0,2024-09-23
163,1,51,Spicy Liver Sub,69.6,0,2024-10-07
164,1,51,Liver Sandwich,70.23,0,2024-12-02
165,1,51,Giblets Sandwich,71.21,0,2024-12-30
166,1,51,Giblets Sandwich,71.58,0,2025-01-13
167,1,51,Spicy Liver Sub,72.42,0,2025-01-27
168,1,51,Giblets Sandwich,71.18,0,2025-02-24
169,1,51,Spicy Liver Sub,72.08,0,2025-04-07
170,1,51,Liver Sandwich,73.15,0,2025-04-21
171,1,51,Liver Sandwich,73.61,0,2025-05-05
172,1,51,Giblets Sandwich,68.84,1,2025-05-19
173,1,51,Spicy Liver Sub,69.64,0,2025-06-16
174,1,51,Spicy Liver Sub,67.46,1,2025-06-30
175,1,51,Giblets Sandwich,68.21,0,2025-07-14
176,1,51,Liver Sandwich,68.87,0,2025-07-28
177,1,51,Spicy Liver Sub,69.31,0,2025-08-25
178,1,51,Giblets Sandwich,69.66,0,2025-09-08
179,1,51,Giblets Sandwich,70.03,0,2025-10-06
180,1,51,Spicy Liver Sub,70.92,0,2025-10-20
181,1,51,Liver Sandwich,71.69,0,2025-11-03
182,1,51,Spicy Liver Sub,72.31,0,2025-12-01
183,1,51,Liver Sandwich,68.46,1,2025-12-15
184,1,51,Liver Sandwich,69.03,0,2025-12-29
185,2,13,Bechamel Pasta,121.46,1,2024-01-01
186,2,13,Baked Pasta,123.28,0,2024-01-15
187,2,13,Bechamel Pasta,124.15,0,2024-02-12
188,2,13,Bechamel Pasta,125.76,0,2024-02-26
189,2,13,Baked Pasta,119.09,1,2024-03-11
190,2,13,Baked Pasta,120.61,0,2024-03-25
191,2,13,Baked Pasta,122.28,0,2024-04-08
192,2,13,Macarona Bechamel,123.07,0,2024-04-22
193,2,13,Macarona Bechamel,120.26,0,2024-05-06
194,2,13,Macarona Bechamel,118.19,0,2024-06-17
195,2,13,Macarona Bechamel,115.39,0,2024-07-01
196,2,13,Macarona Bechamel,113.08,0,2024-07-15
197,2,13,Bechamel Pasta,113.84,0,2024-08-12
198,2,13,Baked Pasta,114.47,0,2024-08-26
199,2,13,Bechamel Pasta,115.43,0,2024-09-23
200,2,13,Macarona Bechamel,116.72,0,2024-11-18
201,2,13,Bechamel Pasta,117.48,0,2024-12-02
202,2,13,Macarona Bechamel,118.64,0,2024-12-30
203,2,13,Baked Pasta,115.97,0,2025-01-13
204,2,13,Bechamel Pasta,117.32,0,2025-01-27
205,2,13,Bechamel Pasta,118.11,0,2025-02-10
206,2,13,Baked Pasta,118.99,0,2025-02-24
207,2,13,Baked Pasta,110.34,1,2025-03-24
208,2,13,Bechamel Pasta,110.91,0,2025-04-07
209,2,13,Bechamel Pasta,111.96,0,2025-04-21
210,2,13,Macarona Bechamel,113.08,0,2025-06-16
211,2,13,Macarona Bechamel,114.76,0,2025-06-30
212,2,13,Bechamel Pasta,104.9,1,2025-07-14
213,2,13,Bechamel Pasta,98.1,1,2025-08-11
214,2,13,Bechamel Pasta,99.26,0,2025-08-25
215,2,13,Baked Pasta,100.54,0,2025-09-22
216,2,13,Baked Pasta,101.26,0,2025-10-20
217,2,13,Baked Pasta,102.05,0,2025-11-03
218,2,13,Baked Pasta,102.85,0,2025-12-01
219,2,13,Bechamel Pasta,103.78,0,2025-12-15
220,2,13,Macarona Bechamel,99.68,1,2025-12-29
221,2,37,Crispy Chicken Burger,113.78,0,2024-01-01
222,2,37,Spicy Chicken Burger,115.0,0,2024-01-15
223,2,37,Chicken Burger,116.29,0,2024-02-12
224,2,37,Crispy Chicken Burger,112.91,0,2024-02-26
225,2,37,Crispy Chicken Burger,114.48,0,2024-03-11
226,2,37,Spicy Chicken Burger,116.15,0,2024-05-06
227,2,37,Chicken Burger,117.1,0,2024-06-03
228,2,37,Chicken Burger,117.94,0,2024-06-17
229,2,37,Crispy Chicken Burger,107.77,1,2024-07-01
230,2,37,Spicy Chicken Burger,109.05,0,2024-07-15
231,2,37,Chicken Burger,109.84,0,2024-07-29
232,2,37,Chicken Burger,101.04,1,2024-08-12
233,2,37,Chicken Burger,102.29,0,2024-08-26
234,2,37,Crispy Chicken Burger,103.58,0,2024-09-09
235,2,37,Crispy Chicken Burger,95.91,1,2024-09-23
236,2,37,Crispy Chicken Burger,96.81,0,2024-10-07
237,2,37,Spicy Chicken Burger,98.0,0,2024-10-21
238,2,37,Crispy Chicken Burger,98.82,0,2024-12-02
239,2,37,Chicken Burger,89.62,1,2024-12-16
240,2,37,Spicy Chicken Burger,90.96,0,2024-12-30
241,2,37,Spicy Chicken Burger,91.42,0,2025-01-13
242,2,37,Spicy Chicken Burger,92.03,0,2025-01-27
243,2,37,Chicken Burger,93.38,0,2025-02-24
244,2,37,Spicy Chicken Burger,90.2,1,2025-03-10
245,2,37,Spicy Chicken Burger,91.22,0,2025-03-24
246,2,37,Spicy Chicken Burger,92.1,0,2025-04-07
247,2,37,Chicken Burger,92.91,0,2025-04-21
248,2,37,Chicken Burger,93.94,0,2025-05-05
249,2,37,Chicken Burger,94.46,0,2025-05-19
250,2,37,Spicy Chicken Burger,95.33,0,2025-06-02
251,2,37,Chicken Burger,96.38,0,2025-06-16
252,2,37,Spicy Chicken Burger,97.25,0,2025-07-28
253,2,37,Chicken Burger,98.39,0,2025-08-11
254,2,37,Chicken Burger,92.87,1,2025-08-25
255,2,37,Crispy Chicken Burger,93.59,0,2025-09-08
256,2,37,Crispy Chicken Burger,94.89,0,2025-09-22
257,2,37,Spicy Chicken Burger,95.85,0,2025-10-06
258,2,37,Chicken Burger,97.25,0,2025-10-20
259,2,37,Chicken Burger,98.12,0,2025-11-17
260,2,37,Crispy Chicken Burger,98.7,0,2025-12-01
261,2,5,Grill Combo,249.65,0,2024-01-01
262,2,5,Grill Combo,243.61,0,2024-01-15
263,2,5,Grill Combo,244.99,0,2024-01-29
264,2,5,Grill Combo,246.9,0,2024-02-12
265,2,5,Grill Combo,250.11,0,2024-02-26
266,2,5,Mixed Grill Platter,231.26,1,2024-03-11
267,2,5,Mixed Grill Platter,210.78,1,2024-03-25
268,2,5,BBQ Mix,211.93,0,2024-04-22
269,2,5,Grill Combo,213.11,0,2024-05-06
270,2,5,BBQ Mix,214.75,0,2024-05-20
271,2,5,Grill Combo,216.71,0,2024-06-03
272,2,5,BBQ Mix,213.78,0,2024-06-17
273,2,5,Mixed Grill Platter,216.5,0,2024-07-15
274,2,5,Mixed Grill Platter,219.31,0,2024-07-29
275,2,5,Grill Combo,220.46,0,2024-08-12
276,2,5,BBQ Mix,200.53,1,2024-08-26
277,2,5,BBQ Mix,181.49,1,2024-09-23
278,2,5,Grill Combo,183.28,0,2024-10-07
279,2,5,BBQ Mix,180.8,0,2024-10-21
280,2,5,Grill Combo,182.97,0,2024-11-04
281,2,5,Grill Combo,185.23,0,2024-12-02
282,2,5,Grill Combo,186.6,0,2024-12-16
283,2,5,Mixed Grill Platter,188.15,0,2025-01-13
284,2,5,Mixed Grill Platter,189.51,0,2025-01-27
285,2,5,BBQ Mix,191.5,0,2025-02-10
286,2,5,Mixed Grill Platter,192.86,0,2025-02-24
287,2,5,Mixed Grill Platter,195.03,0,2025-03-10
288,2,5,Grill Combo,191.23,0,2025-03-24
289,2,5,Mixed Grill Platter,193.84,0,2025-05-19
290,2,5,Grill Combo,195.49,0,2025-06-02
291,2,5,Mixed Grill Platter,197.53,0,2025-07-28
292,2,5,Grill Combo,199.01,0,2025-08-11
293,2,5,Grill Combo,201.49,0,2025-08-25
294,2,5,Mixed Grill Platter,202.64,0,2025-09-08
295,2,5,Grill Combo,204.8,0,2025-09-22
296,2,5,Mixed Grill Platter,205.94,0,2025-10-20
297,2,5,Mixed Grill Platter,208.49,0,2025-11-17
298,2,5,BBQ Mix,209.91,0,2025-12-01
299,2,5,BBQ Mix,212.22,0,2025-12-15
300,2,5,Mixed Grill Platter,214.39,0,2025-12-29
301,2,6,Shawarma Lahem,139.8,1,2024-01-01
302,2,6,Beef Shawarma Wrap,127.84,1,2024-01-29
303,2,6,Shawarma Lahem,126.51,0,2024-02-12
304,2,6,Meat Shawarma,127.88,0,2024-02-26
305,2,6,Meat Shawarma,118.1,1,2024-03-11
306,2,6,Beef Shawarma Wrap,113.33,1,2024-03-25
307,2,6,Beef Shawarma Wrap,114.22,0,2024-04-08
308,2,6,Beef Shawarma Wrap,115.84,0,2024-04-22
309,2,6,Meat Shawarma,117.4,0,2024-05-06
310,2,6,Meat Shawarma,118.98,0,2024-05-20
311,2,6,Beef Shawarma Wrap,110.76,1,2024-06-03
312,2,6,Shawarma Lahem,112.2,0,2024-06-17
313,2,6,Shawarma Lahem,113.37,0,2024-07-01
314,2,6,Beef Shawarma Wrap,114.77,0,2024-07-29
315,2,6,Beef Shawarma Wrap,115.85,0,2024-09-09
316,2,6,Beef Shawarma Wrap,110.68,1,2024-09-23
317,2,6,Meat Shawarma,111.45,0,2024-10-21
318,2,6,Shawarma Lahem,107.16,1,2024-11-18
319,2,6,Beef Shawarma Wrap,108.28,0,2024-12-02
320,2,6,Shawarma Lahem,100.35,1,2024-12-30
321,2,6,Meat Shawarma,101.0,0,2025-01-13
322,2,6,Meat Shawarma,102.51,0,2025-02-10
323,2,6,Beef Shawarma Wrap,103.59,0,2025-02-24
324,2,6,Shawarma Lahem,104.3,0,2025-03-10
325,2,6,Beef Shawarma Wrap,105.48,0,2025-04-07
326,2,6,Meat Shawarma,95.29,1,2025-04-21
327,2,6,Meat Shawarma,96.16,0,2025-05-05
328,2,6,Beef Shawarma Wrap,96.89,0,2025-06-02
329,2,6,Meat Shawarma,98.06,0,2025-06-16
330,2,6,Meat Shawarma,98.71,0,2025-06-30
331,2,6,Beef Shawarma Wrap,99.21,0,2025-07-14
332,2,6,Beef Shawarma Wrap,100.16,0,2025-08-25
333,2,6,Shawarma Lahem,100.81,0,2025-10-20
334,2,6,Beef Shawarma Wrap,101.59,0,2025-11-03
335,2,6,Meat Shawarma,102.62,0,2025-11-17
336,2,6,Beef Shawarma Wrap,103.78,0,2025-12-01
337,2,6,Beef Shawarma Wrap,100.72,0,2025-12-15
338,2,6,Beef Shawarma Wrap,101.77,0,2025-12-29
339,2,28,Om Ali Dessert,77.36,1,2024-01-01
340,2,28,Om Ali,78.03,0,2024-01-15
341,2,28,Om Ali Dessert,79.2,0,2024-01-29
342,2,28,Om Ali,78.34,0,2024-02-12
343,2,28,Om Ali,79.41,0,2024-02-26
344,2,28,Om Ali Dessert,70.58,1,2024-03-11
345,2,28,Om Ali,64.36,1,2024-03-25
346,2,28,Om Ali,60.09,1,2024-04-08
347,2,28,Egyptian Bread Pudding,60.76,0,2024-04-22
348,2,28,Om Ali,61.33,0,2024-05-20
349,2,28,Om Ali Dessert,61.74,0,2024-06-03
350,2,28,Om Ali,62.37,0,2024-07-01
351,2,28,Om Ali,62.88,0,2024-07-15
352,2,28,Om Ali,63.42,0,2024-07-29
353,2,28,Egyptian Bread Pudding,61.81,0,2024-08-26
354,2,28,Egyptian Bread Pudding,62.13,0,2024-09-09
355,2,28,Om Ali,62.67,0,2024-09-23
356,2,28,Om Ali,63.02,0,2024-10-07
357,2,28,Om Ali,63.59,0,2024-10-21
358,2,28,Om Ali Dessert,61.4,1,2024-11-04
359,2,28,Egyptian Bread Pudding,62.31,0,2024-11-18
360,2,28,Om Ali Dessert,61.02,0,2024-12-02
361,2,28,Om Ali Dessert,61.54,0,2024-12-30
362,2,28,Om Ali Dessert,62.39,0,2025-03-10
363,2,28,Egyptian Bread Pudding,62.82,0,2025-03-24
364,2,28,Om Ali Dessert,63.18,0,2025-04-21
365,2,28,Egyptian Bread Pudding,63.69,0,2025-06-02
366,2,28,Om Ali,61.29,1,2025-06-30
367,2,28,Om Ali Dessert,61.62,0,2025-07-28
368,2,28,Om Ali,62.37,0,2025-08-11
369,2,28,Egyptian Bread Pudding,57.6,1,2025-08-25
370,2,28,Egyptian Bread Pudding,58.17,0,2025-09-08
371,2,28,Egyptian Bread Pudding,58.71,0,2025-09-22
372,2,28,Om Ali,59.34,0,2025-10-20
373,2,28,Egyptian Bread Pudding,59.96,0,2025-11-03
374,2,28,Egyptian Bread Pudding,60.63,0,2025-12-01
375,2,1,Grilled Kofta Plate,156.08,0,2024-01-15
376,2,1,Classic Kofta,157.86,0,2024-01-29
377,2,1,Classic Kofta,143.91,1,2024-02-12
378,2,1,Grilled Kofta Plate,143.16,0,2024-03-25
379,2,1,Mixed Kofta,145.21,0,2024-04-22
380,2,1,Grilled Kofta Plate,146.32,0,2024-05-06
381,2,1,Classic Kofta,147.57,0,2024-05-20
382,2,1,Classic Kofta,149.52,0,2024-06-03
383,2,1,Grilled Kofta Plate,151.13,0,2024-07-01
384,2,1,Mixed Kofta,152.32,0,2024-07-15
385,2,1,Mixed Kofta,154.2,0,2024-08-12
386,2,1,Mixed Kofta,156.26,0,2024-09-09
387,2,1,Grilled Kofta Plate,140.65,1,2024-10-07
388,2,1,Mixed Kofta,141.76,0,2024-10-21
389,2,1,Classic Kofta,142.74,0,2024-12-30
390,2,1,Mixed Kofta,141.24,0,2025-01-13
391,2,1,Grilled Kofta Plate,143.03,0,2025-02-24
392,2,1,Grilled Kofta Plate,143.87,0,2025-03-10
393,2,1,Classic Kofta,144.83,0,2025-03-24
394,2,1,Classic Kofta,141.97,0,2025-04-07
395,2,1,Grilled Kofta Plate,134.15,1,2025-04-21
396,2,1,Grilled Kofta Plate,135.47,0,2025-05-05
397,2,1,Grilled Kofta Plate,132.8,0,2025-06-02
398,2,1,Mixed Kofta,129.84,0,2025-06-16
399,2,1,Classic Kofta,126.53,0,2025-06-30
400,2,1,Mixed Kofta,127.55,0,2025-07-28
401,2,1,Mixed Kofta,126.1,0,2025-08-11
402,2,1,Classic Kofta,117.45,1,2025-08-25
403,2,1,Classic Kofta,113.52,1,2025-09-22
404,2,1,Classic Kofta,114.12,0,2025-10-06
405,2,1,Mixed Kofta,114.96,0,2025-11-17
406,2,1,Grilled Kofta Plate,116.14,0,2025-12-01
407,2,1,Mixed Kofta,111.86,1,2025-12-15
408,2,1,Classic Kofta,112.69,0,2025-12-29
409,3,3,Roasted Chicken,130.96,0,2024-01-15
410,3,3,Half Chicken,131.91,0,2024-01-29
411,3,3,Half Chicken,133.8,0,2024-02-26
412,3,3,Grilled Chicken,134.5,0,2024-03-11
413,3,3,Roasted Chicken,132.67,0,2024-04-08
414,3,3,Half Chicken,133.81,0,2024-04-22
415,3,3,Roasted Chicken,134.78,0,2024-05-06
416,3,3,Roasted Chicken,135.87,0,2024-05-20
417,3,3,Roasted Chicken,136.64,0,2024-06-03
418,3,3,Roasted Chicken,138.53,0,2024-06-17
419,3,3,Roasted Chicken,139.89,0,2024-07-01
420,3,3,Half Chicken,141.07,0,2024-07-15
421,3,3,Half Chicken,142.25,0,2024-07-29
422,3,3,Roasted Chicken,129.52,1,2024-08-26
423,3,3,Roasted Chicken,117.06,1,2024-09-09
424,3,3,Roasted Chicken,118.39,0,2024-09-23
425,3,3,Grilled Chicken,119.17,0,2024-10-07
426,3,3,Half Chicken,120.11,0,2024-10-21
427,3,3,Half Chicken,120.96,0,2024-11-18
428,3,3,Grilled Chicken,109.25,1,2024-12-02
429,3,3,Half Chicken,110.87,0,2024-12-30
430,3,3,Grilled Chicken,111.82,0,2025-02-10
431,3,3,Grilled Chicken,112.8,0,2025-02-24
432,3,3,Grilled Chicken,114.26,0,2025-03-24
433,3,3,Half Chicken,114.92,0,2025-04-21
434,3,3,Grilled Chicken,114.34,0,2025-05-05
435,3,3,Half Chicken,107.95,1,2025-05-19
436,3,3,Grilled Chicken,109.47,0,2025-07-28
437,3,3,Half Chicken,107.79,0,2025-08-11
438,3,3,Grilled Chicken,108.9,0,2025-08-25
439,3,3,Roasted Chicken,109.69,0,2025-09-08
440,3,3,Half Chicken,105.83,1,2025-09-22
441,3,3,Grilled Chicken,106.36,0,2025-10-06
442,3,3,Grilled Chicken,107.03,0,2025-10-20
443,3,3,Half Chicken,107.59,0,2025-11-03
444,3,3,Half Chicken,108.22,0,2025-12-01
445,3,3,Roasted Chicken,109.3,0,2025-12-15
446,3,3,Half Chicken,110.68,0,2025-12-29
447,3,53,Taameya Sandwich,39.82,0,2024-01-01
448,3,53,Taameya Sandwich,40.16,0,2024-01-15
449,3,53,Taameya Sandwich,40.55,0,2024-02-12
450,3,53,Falafel Sandwich,41.08,0,2024-03-11
451,3,53,Taameya Sandwich,41.58,0,2024-03-25
452,3,53,Falafel Sub,39.32,1,2024-04-22
453,3,53,Falafel Sandwich,39.83,0,2024-06-03
454,3,53,Falafel Sandwich,40.07,0,2024-07-29
455,3,53,Falafel Sandwich,36.28,1,2024-08-12
456,3,53,Falafel Sub,34.89,1,2024-08-26
457,3,53,Falafel Sandwich,35.18,0,2024-09-09
458,3,53,Falafel Sandwich,34.99,0,2024-09-23
459,3,53,Falafel Sub,35.47,0,2024-10-07
460,3,53,Taameya Sandwich,34.43,0,2024-11-04
461,3,53,Falafel Sub,34.83,0,2024-12-16
462,3,53,Falafel Sandwich,35.35,0,2024-12-30
463,3,53,Falafel Sub,35.72,0,2025-01-13
464,3,53,Falafel Sandwich,35.4,0,2025-02-10
465,3,53,Falafel Sandwich,34.83,0,2025-02-24
466,3,53,Falafel Sub,33.68,1,2025-03-10
467,3,53,Falafel Sub,34.15,0,2025-03-24
468,3,53,Falafel Sub,34.6,0,2025-04-07
469,3,53,Falafel Sandwich,35.02,0,2025-04-21
470,3,53,Falafel Sandwich,35.54,0,2025-05-19
471,3,53,Falafel Sandwich,35.82,0,2025-06-02
472,3,53,Falafel Sub,36.0,0,2025-06-16
473,3,53,Falafel Sandwich,36.31,0,2025-06-30
474,3,53,Taameya Sandwich,35.5,0,2025-07-14
475,3,53,Taameya Sandwich,35.95,0,2025-07-28
476,3,53,Falafel Sandwich,36.16,0,2025-08-11
477,3,53,Taameya Sandwich,36.42,0,2025-09-08
478,3,53,Falafel Sandwich,36.69,0,2025-10-06
479,3,53,Falafel Sandwich,37.07,0,2025-12-01
480,3,53,Falafel Sub,37.43,0,2025-12-15
481,3,53,Falafel Sub,37.65,0,2025-12-29
482,3,55,Lamb Ribs,193.49,0,2024-01-15
483,3,55,Grilled Lamb,194.54,0,2024-01-29
484,3,55,Grilled Lamb,195.62,0,2024-03-25
485,3,55,Lamb Chops,179.0,1,2024-04-08
486,3,55,Grilled Lamb,181.32,0,2024-04-22
487,3,55,Lamb Ribs,165.1,1,2024-05-06
488,3,55,Lamb Ribs,164.22,0,2024-05-20
489,3,55,Lamb Ribs,150.04,1,2024-06-17
490,3,55,Grilled Lamb,150.92,0,2024-07-01
491,3,55,Lamb Chops,152.5,0,2024-07-15
492,3,55,Lamb Chops,153.67,0,2024-08-26
