RefusalID,OrderID,RefusalReason,RefusedAmount_EGP,RefusalDateTime
212,2549,Customer ordered from multiple places and chose another,656.66,2024-09-18 22:20:10
213,2551,Customer ordered from multiple places and chose another,480.38,2024-03-04 13:57:49
214,2555,No change available for large bills,265.77,2024-12-26 02:38:52
215,2582,Customer disputes item quality without seeing it,528.93,2024-07-20 13:31:16
216,2618,Order amount higher than expected,839.86,2024-08-06 14:19:47
217,2620,Order amount higher than expected,198.82,2024-11-18 11:24:50
218,2632,Wrong address provided,176.29,2025-05-07 23:23:19
219,2633,Customer requested cancellation after dispatch,451.41,2025-03-27 13:59:23
220,2644,Address not found,228.16,2024-09-27 22:56:57
221,2645,Customer phone unreachable,525.5,2024-06-21 18:45:37
222,2660,Customer ordered from multiple places and chose another,666.09,2024-06-11 14:25:05
223,2665,Customer requested cancellation after dispatch,369.95,2024-01-27 23:21:17
224,2666,Customer disputes item quality without seeing it,265.11,2024-06-13 20:03:42
225,2669,Address not found,456.3,2024-03-06 23:39:49
226,2673,Address not found,761.35,2024-03-15 22:18:22
227,2678,Customer requested cancellation after dispatch,272.6,2024-01-06 22:22:36
228,2701,Customer ordered from multiple places and chose another,336.31,2025-05-29 14:30:00
229,2718,Customer not home at delivery time,478.93,2025-10-13 15:49:32
230,2729,Wrong address provided,196.59,2025-02-15 23:53:11
231,2754,No change available for large bills,282.05,2025-02-15 20:23:02
232,2761,Wrong address provided,264.76,2024-11-12 14:27:24
233,2775,Customer not home at delivery time,238.8,2025-01-08 20:16:01
234,2787,Customer ordered from multiple places and chose another,310.04,2024-10-27 21:03:06
235,2790,No change available for large bills,221.72,2024-01-24 00:56:33
236,2805,Customer disputes item quality without seeing it,522.42,2024-09-04 21:00:47
237,2811,No change available for large bills,227.23,2024-10-16 21:22:15
238,2814,No change available for large bills,452.73,2025-04-17 01:00:58
239,2819,Customer phone unreachable,582.92,2024-09-12 19:57:53
240,2834,Order amount higher than expected,691.04,2025-02-06 01:34:44
241,2836,Wrong address provided,371.77,2024-09-28 00:11:20
242,2890,Customer requested cancellation after dispatch,424.54,2024-05-16 20:31:44
243,2912,Address not found,280.27,2024-11-08 21:24:06
244,2929,Wrong address provided,369.59,2024-10-13 15:25:55
245,2933,No change available for large bills,384.57,2025-10-07 23:12:52
246,2947,Order amount higher than expected,627.13,2025-03-16 18:53:59
247,2953,Address not found,240.29,2024-06-24 23:54:24
248,2962,Customer disputes item quality without seeing it,716.91,2024-07-21 18:04:35
249,2976,Order amount higher than expected,440.92,2025-09-14 15:10:11
250,2982,Customer ordered from multiple places and chose another,622.49,2025-03-01 23:26:42
251,2994,Wrong address provided,222.48,2025-01-05 20:44:57
252,3006,No change available for large bills,634.94,2024-07-10 17:47:34
253,3019,Order amount higher than expected,184.45,2025-02-06 23:34:23
254,3063,Customer ordered from multiple places and chose another,613.07,2025-03-20 19:08:14
255,3090,Customer ordered from multiple places and chose another,165.93,2025-06-05 13:26:52
256,3094,Customer not home at delivery time,1016.42,2025-03-31 13:33:42
257,3108,No change available for large bills,580.47,2025-03-09 18:26:18
258,3118,No change available for large bills,400.48,2025-08-16 00:59:03
259,3127,Customer not home at delivery time,350.9,2024-03-21 02:44:01
260,3136,Customer requested cancellation after dispatch,643.36,2025-04-24 22:59:54
261,3146,Address not found,222.58,2025-03-13 03:54:13
262,3150,Order amount higher than expected,611.05,2025-10-24 18:58:27
263,3152,Customer phone unreachable,195.64,2025-02-28 21:02:49
264,3157,Order amount higher than expected,322.65,2024-01-18 13:19:10
265,3163,Customer changed their mind,304.46,2024-11-06 21:33:29
266,3174,Customer not home at delivery time,362.72,2024-02-18 21:15:11
267,3175,Address not found,432.69,2025-07-20 13:05:05
268,3206,Customer phone unreachable,783.64,2025-06-04 21:30:55
269,3209,Customer ordered from multiple places and chose another,591.85,2025-02-14 21:40:17
270,3211,Wrong address provided,508.1,2024-08-30 00:01:39
271,3240,Customer not home at delivery time,523.08,2025-10-14 14:11:06
272,3264,Customer disputes item quality without seeing it,212.22,2024-05-09 01:40:05
273,3270,Customer ordered from multiple places and chose another,318.95,2024-02-10 15:24:51
274,3276,Customer changed their mind,248.47,2024-10-11 02:47:24
275,3311,Address not found,401.27,2024-01-05 15:17:38
276,3314,Address not found,494.34,2025-12-02 23:21:18
277,3322,Address not found,255.05,2024-10-23 10:13:09
278,3327,Customer phone unreachable,301.27,2025-05-06 15:49:31
279,3331,No change available for large bills,688.04,2024-05-02 23:21:15
280,3339,Customer disputes item quality without seeing it,278.9,2025-06-22 23:46:42
281,3350,Customer requested cancellation after dispatch,463.3,2024-01-17 13:49:49
282,3365,Customer requested cancellation after dispatch,290.14,2024-03-28 03:04:58
283,3398,Customer disputes item quality without seeing it,377.26,2025-08-14 22:48:16
284,3417,Customer not home at delivery time,712.66,2025-04-12 00:47:24
285,3420,No change available for large bills,322.37,2025-11-12 15:14:11
286,3422,Customer changed their mind,802.4,2024-04-10 21:27:44
287,3431,Customer not home at delivery time,492.13,2025-12-27 00:39:00
288,3466,No change available for large bills,173.21,2024-12-24 15:32:21
289,3477,Customer requested cancellation after dispatch,222.51,2024-09-28 14:28:47
290,3486,Customer requested cancellation after dispatch,412.26,2024-05-10 18:29:03
291,3489,Customer ordered from multiple places and chose another,208.26,2024-12-10 22:45:25
292,3496,Customer disputes item quality without seeing it,388.42,2025-04-07 14:18:11
293,3499,Customer changed their mind,516.49,2024-07-02 23:41:41
294,3505,No change available for large bills,394.02,2025-07-15 22:13:35
295,3507,Customer disputes item quality without seeing it,362.4,2025-09-19 01:30:01
296,3521,Customer phone unreachable,508.66,2025-09-09 15:02:05
297,3524,Customer requested cancellation after dispatch,202.95,2024-09-11 01:22:14
298,3534,Customer phone unreachable,448.9,2025-06-04 00:54:55
299,3549,Customer phone unreachable,561.97,2025-06-22 22:19:03
300,3562,Customer disputes item quality without seeing it,450.65,2025-11-10 23:04:37
301,3572,Customer changed their mind,237.91,2024-11-04 15:14:36
302,3588,Customer changed their mind,302.14,2025-11-07 23:50:05
303,3602,Wrong address provided,480.18,2024-05-02 02:40:59
304,3639,Wrong address provided,630.97,2024-10-16 13:39:41
305,3640,Order amount higher than expected,672.43,2024-01-19 01:12:24
306,3653,Customer changed their mind,235.44,2025-03-01 22:51:49
307,3670,No change available for large bills,683.77,2024-10-27 23:24:08
308,3676,Wrong address provided,291.73,2025-07-05 20:52:47
309,3681,Customer changed their mind,167.46,2024-10-18 01:57:11
310,3684,Customer ordered from multiple places and chose another,512.05,2024-12-27 00:18:23
311,3700,Customer phone unreachable,283.41,2024-01-11 19:59:26
312,3732,Customer disputes item quality without seeing it,780.68,2024-03-12 04:16:55
313,3743,Customer not home at delivery time,504.33,2025-08-22 13:12:16
314,3753,Customer ordered from multiple places and chose another,505.19,2025-09-04 00:53:34
315,3756,Customer changed their mind,349.5,2024-04-20 13:17:00
316,3757,Customer disputes item quality without seeing it,269.16,2024-11-21 23:21:03
317,3778,Customer disputes item quality without seeing it,255.91,2024-08-13 15:00:18
318,3796,Address not found,431.97,2025-07-05 13:15:16
319,3799,Customer requested cancellation after dispatch,593.82,2025-03-16 23:16:52
320,3812,Customer not home at delivery time,203.33,2024-12-05 17:01:51
321,3828,Customer changed their mind,199.48,2025-07-01 13:13:32
322,3835,Customer disputes item quality without seeing it,690.61,2025-02-02 23:24:56
323,3842,Customer disputes item quality without seeing it,345.25,2025-11-09 00:30:50
324,3845,Order amount higher than expected,432.28,2025-10-28 14:45:14
325,3846,Order amount higher than expected,219.6,2024-10-17 21:53:19
326,3855,Address not found,175.2,2024-11-07 01:24:49
327,3887,No change available for large bills,325.0,2025-11-05 23:31:47
328,3890,Customer ordered from multiple places and chose another,366.96,2025-04-04 16:34:54
329,3892,No change available for large bills,335.58,2025-07-08 00:52:31
330,3893,Customer requested cancellation after dispatch,292.77,2024-09-18 22:33:45
331,3895,Address not found,214.0,2024-08-06 00:24:55
332,3905,Customer disputes item quality without seeing it,475.87,2025-12-01 15:04:40
333,3927,Wrong address provided,445.32,2024-10-11 13:09:00
334,3953,Customer changed their mind,584.89,2024-03-15 04:39:20
335,3954,Order amount higher than expected,182.94,2024-10-09 14:34:36
336,3969,Address not found,375.68,2025-05-14 15:32:40
337,3972,Customer requested cancellation after dispatch,224.04,2025-03-14 04:40:30
338,3985,No change available for large bills,788.41,2024-03-31 19:57:20
339,4013,Customer phone unreachable,483.47,2025-01-03 01:24:20
340,4025,Customer requested cancellation after dispatch,285.37,2025-01-14 12:39:20
341,4034,Address not found,220.86,2025-11-15 00:38:27
342,4045,Customer not home at delivery time,435.41,2025-09-07 15:49:00
